booking_id,customer_name,customer_phone,animal_ref,booked_on,promised_weight,price_quoted_inr,status,notes
BK-5747,Shoaib Akhtar,9691079452,982000440731,2026-05-23,36.1,22382,confirmed,
BK-5039,Abdul Rahman,9768438974,982000487984,2026-05-23,28.0,17360,confirmed,
BK-7808,Yusuf Ali,9153268658,G-CBE-0123,2026-05-18,36.7,22754,confirmed,
BK-5718,Zaid Hussain,9362574525,CBE-929,2026-05-24,31.4,23363,confirmed,ref unclear
BK-5190,Rizwan Ahmed,9446493598,Sojat ??,2026-05-20,32.5,20856,confirmed,ref unclear
BK-2981,Sameer Shah,9649065036,Osmanabadi 135,2026-05-24,27.5,17050,confirmed,
BK-1332,Imran Sheikh,9407258067,982000402673,19/05/2026,33.1,20522,confirmed,
BK-2654,Omar Farooq,9746521175,Boer 150,20/05/2026,45.7,28334,confirmed,
BK-6553,Nadeem Ansari,9938787626,G-CBE-0017,2026-05-19,26.5,16430,confirmed,
BK-8334,Omar Farooq,9620736069,982000424214,25/05/2026,32.6,20212,confirmed,
BK-5321,Nadeem Ansari,9696149877,982000490159,2026-05-19,27.2,16864,confirmed,
BK-9325,Junaid Qureshi,9949349166,982000423923,2026-05-18,44.5,27590,confirmed,
BK-9187,Wasim Akram,9860009121,G-CBE-0056,19/05/2026,26.3,16306,confirmed,
BK-1900,Abdul Rahman,9242840733,CBE-932,2026-05-25,36.5,25687,confirmed,ref unclear
BK-7376,Wasim Akram,9845409547,982000436209,2026-05-22,29.1,18042,confirmed,
BK-9364,Haris Malik,9518357908,G-CPT-0068,2026-05-25,52.5,27838,confirmed,
BK-2077,Shoaib Akhtar,9310885778,G-CBE-0003,24/05/2026,43.9,27218,confirmed,
BK-5150,Rizwan Ahmed,9926532476,Sojat ??,2026-05-19,39.8,20169,confirmed,ref unclear
BK-8241,Faisal Khan,9410033638,G-CBE-0037,2026-05-25,30.2,18724,confirmed,
BK-7314,Omar Farooq,9456438980,Nellore 434,2026-05-21,28.4,17608,confirmed,
BK-7101,Irfan Pathan,9841232520,G-CBE-0119,19/05/2026,40.7,25234,confirmed,
BK-3279,Bilal Ahmed,9919033595,982000442859,2026-05-25,45.7,28334,confirmed,
BK-9037,Junaid Qureshi,9969716503,982000415876,2026-05-19,37.7,25465,confirmed,ref unclear
BK-5596,Noman Khan,9799972163,982000473541,2026-05-20,44.2,27404,confirmed,
BK-2316,Junaid Qureshi,9654485821,982000422809,2026-05-23,39.7,24614,confirmed,
BK-1339,Tariq Mahmood,9809109406,G-CBE-0157,2026-05-25,28.9,17918,confirmed,
BK-5557,Junaid Qureshi,9615563496,CBE-474,23/05/2026,26.5,16430,confirmed,
BK-8482,Mohammed Iqbal,9717384692,982000473317,2026-05-23,35.5,22010,confirmed,
BK-2943,Wasim Akram,9085755108,CBE-336,2026-05-22,44.8,27776,confirmed,
BK-6424,Rashid Patel,9814206728,982000486215,2026-05-23,45.7,28334,confirmed,
BK-2547,Adnan Siddiqui,9676222414,CBE-984,2026-05-19,37.3,22918,confirmed,ref unclear
BK-3587,Shoaib Akhtar,9277715591,982000464769,2026-05-19,34.9,21638,confirmed,
BK-6759,Junaid Qureshi,9973922754,982000469380,2026-05-19,28.9,17918,cancelled,
BK-8092,Omar Farooq,9671045896,Sojat 132,2026-05-23,33.1,20522,confirmed,
BK-6161,Abdul Rahman,9206772461,G-CBE-0002,2026-05-24,45.5,28210,confirmed,
BK-6682,Omar Farooq,9762553992,Sirohi 440,2026-05-22,45.3,28086,confirmed,
BK-4703,Nadeem Ansari,9631386336,Boer 478,2026-05-19,28.0,17360,confirmed,
BK-1311,Sohail Memon,9127761218,CBE-220,18/05/2026,37.3,18476,confirmed,
BK-1403,Sameer Shah,9437645466,982000457834,2026-05-18,32.6,20212,confirmed,
BK-9396,Irfan Pathan,9490488099,Sojat ??,2026-05-23,34.8,23694,confirmed,ref unclear
BK-1659,Asif Shaikh,9088249735,S-CPT-0176,2026-05-18,36.6,22692,confirmed,
BK-9940,Rashid Patel,9208366615,982000449339,2026-05-18,45.3,28086,confirmed,
BK-2287,Abdul Rahman,9818329694,982000479614,2026-05-25,39.2,21700,confirmed,
BK-7106,Kamran Baig,9249958280,982000432044,2026-05-20,34.9,21638,confirmed,
BK-8406,Haris Malik,9966412757,982000491804,18/05/2026,30.5,18910,confirmed,
BK-4726,Tariq Mahmood,9812190382,Boer 299,2026-05-21,32.6,20212,confirmed,
BK-2243,Haris Malik,9517476364,Sojat ??,25/05/2026,38.8,18604,confirmed,ref unclear
BK-7210,Adnan Siddiqui,9883579147,982000408714,2026-05-21,35.4,21948,confirmed,
BK-9995,Mohammed Iqbal,9236455360,CBE-987,2026-05-18,28.4,19965,confirmed,ref unclear
BK-3207,Yusuf Ali,9898416027,CBE-927,2026-05-25,30.2,19428,confirmed,ref unclear
BK-9074,Adnan Siddiqui,9151822611,CPT-232,2026-05-18,27.9,17298,confirmed,
BK-3047,Tariq Mahmood,9119622075,CBE-135,2026-05-19,27.5,17050,confirmed,
BK-8371,Bilal Ahmed,9200358384,S-CBE-0169,2026-05-25,28.4,17608,confirmed,
BK-8827,Sameer Shah,9130067055,982000405901,24/05/2026,36.6,22692,confirmed,
BK-6430,Mohammed Iqbal,9725282872,982000425568,2026-05-20,30.7,19034,void,
BK-3831,Asif Shaikh,9991625353,982000417415,2026-05-23,33.5,17112,confirmed,
BK-5928,Noman Khan,9164410042,982000400533,2026-05-25,36.4,22568,confirmed,
BK-9001,Farhan Ali,9742013864,CPT-206,2026-05-24,31.0,19840,confirmed,farm number copied off Vivek sheet
